NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT05904132,Individual Closed-Loop Neuromodulation Therapy for Alzheimer's Disease,https://clinicaltrials.gov/study/NCT05904132,RECRUITING,Alzheimer Disease|Mild Cognitive Impairment,DEVICE: tACS device,Massachusetts General Hospital,,INTERVENTIONAL
NCT01481961,Study of Repetitive Transcranial Magnetic Stimulation (rTMS) as add-on Treatment for Early Alzheimer's Disease,https://clinicaltrials.gov/study/NCT01481961,COMPLETED,Alzheimer's Disease|Cognition Disorders,PROCEDURE: repetitive Transcranial Magnetic Stimulation (rTMS),"Pierre Vandel, MD PhD","Neurology department of CHU Besancon (Dr Rumbach L, Dr Berger E, Dr Galmiche J)|Memory Center of Research and Resources (MCRR) of Besancon (Dr Magnin E)|Rapid-fr network (Dr Galmiche J)|Clinical Investigation Centre for Innovative Technology Network|Funding by French Internal Project Call for Clinical Research(2010-A00659-30)",INTERVENTIONAL
NCT06179680,White Matter Hyperintensities in Amnestic Mild Cognitive Impairment or Alzheimer's Disease,https://clinicaltrials.gov/study/NCT06179680,RECRUITING,Mild Cognitive Impairment|Alzheimer Disease,DIAGNOSTIC_TEST: Magnetic Resonance Imaging,IRCCS Policlinico S. Donato,,OBSERVATIONAL
NCT04795466,Study of the Efficacy and Safety of Various Anti-inflammatory Agents in Participants With Mild Cognitive Impairment or Mild Alzheimer's Disease,https://clinicaltrials.gov/study/NCT04795466,TERMINATED,Mild Cognitive Impairment|Alzheimer Disease,BIOLOGICAL: Canakinumab|OTHER: Placebo,Novartis Pharmaceuticals,,INTERVENTIONAL
NCT07083089,"Early Stage of Alzheimer's and Parkinson's Diseases, HearIng Relevance (SAPHIR)",https://clinicaltrials.gov/study/NCT07083089,RECRUITING,Mild Cognitive Impairment (MCI) Amnestic|Parkinson Disease (PD)|Healthy Participants,OTHER: Thorough Hearing assessment,Cilcare SAS,,INTERVENTIONAL
NCT06774261,"Phenserine on the Alzheimer's Treatment Horizon, Study 1",https://clinicaltrials.gov/study/NCT06774261,NOT_YET_RECRUITING,Alzheimer Disease|Mild Cognitive Impairment,DRUG: Phenserine|DRUG: Donepezil (Aricept®),Helse Stavanger HF,Helse Fonna|St. Olavs Hospital|University Hospital of North Norway|University of Exeter|National Institutes of Health (NIH),INTERVENTIONAL
NCT07224139,Sex-specific Risk Factors and Trajectories of Blood Biomarkers for Alzheimer's Disease and Related Dementias,https://clinicaltrials.gov/study/NCT07224139,ACTIVE_NOT_RECRUITING,Alzheimer Disease|Dementia|Cognitive Dysfunction,,Anne Murray,,OBSERVATIONAL
NCT01962779,"Sleep, Aging and Risk for Alzheimer's Disease",https://clinicaltrials.gov/study/NCT01962779,COMPLETED,Sleep Disordered Breathing|Alzheimer's Disease,OTHER: Continuous positive airway pressure (CPAP),NYU Langone Health,"National Heart, Lung, and Blood Institute (NHLBI)",INTERVENTIONAL
NCT06023446,Can (Optical Coherence Tomography) Pictures of the Retina Detect Alzheimer's Disease at Its Earliest Stages?,https://clinicaltrials.gov/study/NCT06023446,ENROLLING_BY_INVITATION,Alzheimer Disease|Mild Cognitive Impairment,DIAGNOSTIC_TEST: Optical Coherence Tomography,"University of California, Davis",National Institute on Aging (NIA),OBSERVATIONAL
NCT05761665,"Comparison of Kinesiophobia, Balance, Falling and Walking Speeds of Elderly's With Physical Frailty With Alzheimer's",https://clinicaltrials.gov/study/NCT05761665,UNKNOWN,Alzheimer Disease|Frail Elderly Syndrome,OTHER: Evaluation,Kırıkkale University,,OBSERVATIONAL
NCT07099001,Establishing Clinical Utility Evidence for a Novel Alzheimer's Disease Blood-Based Biomarker Assay,https://clinicaltrials.gov/study/NCT07099001,COMPLETED,Alzheimer Disease (AD)|Cognitive Decline,OTHER: Educational materials on the Alzheimer's disease assay|OTHER: Alzheimer's disease assay results,"Qure Healthcare, LLC","Beckman Coulter, Inc.",INTERVENTIONAL
NCT02109705,Porphyromonas Gingivalis and Alzheimer's Disease,https://clinicaltrials.gov/study/NCT02109705,COMPLETED,Alzheimer's Disease|Dementia|Periodontitis,,University Hospital Muenster,University of Bern,OBSERVATIONAL
NCT04784416,Transcranial Photobiomodulation for Alzheimer's Disease (TRAP-AD),https://clinicaltrials.gov/study/NCT04784416,ACTIVE_NOT_RECRUITING,Mild Cognitive Impairment|Alzheimer Disease,DEVICE: Active tPBM-2.0|DEVICE: Sham tPBM-2.0|DRUG: 18F-MK-6240,NYU Langone Health,National Institutes of Health (NIH)|Alzheimer's Association|LiteCure LLC,INTERVENTIONAL
NCT05795634,Cognitive Vulnerability to Stress in Individuals at Risk for Alzheimer's Disease,https://clinicaltrials.gov/study/NCT05795634,RECRUITING,Mild Cognitive Impairment|Alzheimer Disease,BEHAVIORAL: Trier Social Stress Test,Johns Hopkins University,National Institute on Aging (NIA),INTERVENTIONAL
NCT06516965,A Study to Evaluate the Efficacy and Safety Study of Povorcitinib in Participants With Prurigo Nodularis (STOP-PN2),https://clinicaltrials.gov/study/NCT06516965,ACTIVE_NOT_RECRUITING,Prurigo Nodularis,DRUG: Povorcitinib|DRUG: Placebo,Incyte Corporation,,INTERVENTIONAL
NCT04855643,Home-based tDCS for Apathy in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT04855643,TERMINATED,Alzheimer Disease and Related Dementias,DEVICE: home-based active tDCS|DEVICE: home-based sham tDCS,"The University of Texas Health Science Center, Houston",Texas Alzheimer's Research and Care Consortium,INTERVENTIONAL
NCT05806697,Investigation of AlzHeimer's Predictors in Subjective Memory Complainers - Extension Study,https://clinicaltrials.gov/study/NCT05806697,RECRUITING,Alzheimer Disease|Memory Complaint|Memory Disorders,PROCEDURE: Electroencephalogram (EEG)|PROCEDURE: Oculomotor tests|PROCEDURE: MRI|RADIATION: 18-F amyloid PET Scan|RADIATION: 18F-fluorodeoxyglucose (FDG) PET Scan|BIOLOGICAL: Blood sampling|BIOLOGICAL: Lumbar puncture,"Institut National de la Santé Et de la Recherche Médicale, France",,INTERVENTIONAL
NCT06608589,CONSTELLATIONS Living Lab: Improving the Care Transitions of Older Adults Living with Neurocognitive Disorders,https://clinicaltrials.gov/study/NCT06608589,RECRUITING,Alzheimer Disease|Dementia|Neurocognitive Decline,OTHER: CoMPAS+ MNCDs Program - Quality improvement program targeting the care transitions of patients living with a major neurocognitive disorder and their caregivers,Laval University,CISSS de Chaudière-Appalaches|Institut national d'excellence en santé et service sociaux,INTERVENTIONAL
NCT05538507,"Efficacy of Chinese Traditional Medicine ""Smart Soup"" in Cognition and Behavior Regulation in Alzheimer's Disease",https://clinicaltrials.gov/study/NCT05538507,UNKNOWN,Alzheimer Disease|Mild Cognitive Impairment,DRUG: smart soup|DRUG: Donepezil|DRUG: Memantine|DRUG: Placebo,Peking Union Medical College Hospital,Tongji University,INTERVENTIONAL
NCT05469009,Safety and Feasibility of Exablate Blood-Brain Barrier Disruption for Mild Cognitive Impairment or Mild Alzheimer's Disease Undergoing Standard of Care Monoclonal Antibody (mAb) Therapy,https://clinicaltrials.gov/study/NCT05469009,ACTIVE_NOT_RECRUITING,Mild Cognitive Impairment|Alzheimer Disease 1,DRUG: Aducanumab|DEVICE: Exablate Model 4000 Type 2|DRUG: Lecanemab,Ali Rezai,InSightec,INTERVENTIONAL
NCT00009217,Treatment of Behavioral Symptoms in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT00009217,COMPLETED,Alzheimer's Disease|Psychosis|Agitation,DRUG: Haloperidol-Haloperidol|DRUG: Haloperidol-Placebo,New York State Psychiatric Institute,National Institute of Mental Health (NIMH),INTERVENTIONAL
NCT06023407,Feasibility of Improving Glycemia With Heat Therapy to Prevent AD,https://clinicaltrials.gov/study/NCT06023407,ENROLLING_BY_INVITATION,Healthy Aging|Alzheimer Disease|Metabolic Disease,OTHER: Water Immersion Heat Therapy,University of Kansas Medical Center,National Institute on Aging (NIA),INTERVENTIONAL
NCT05430867,Efficacy and Safety of Memantine and Sodium Oligomannate in Patients With Moderate to Severe Alzheimer's Disease,https://clinicaltrials.gov/study/NCT05430867,UNKNOWN,Treatment|Efficacy|Safety|Alzheimer Disease,DRUG: Memantine Oral Tablet|DRUG: GV-971 capsule,First Affiliated Hospital Xi'an Jiaotong University,,INTERVENTIONAL
NCT04913454,CLearing Alzheimer's Disease Molecular Pathology Without Medications,https://clinicaltrials.gov/study/NCT04913454,UNKNOWN,Alzheimer Disease|Amyloid Plaque|Amyloidosis,OTHER: 40 Hz multi-sensory (auditory + visual) stimulation and cognitive training|OTHER: Cognitive training,"University Hospital, Geneva",,INTERVENTIONAL
NCT05971030,Clinical Exploratory Research of Medial Prefrontal Cortex Combined With Dorsolateral Prefrontal Cortex Electrical Stimulation in the Treatment of Alzheimer's Disease,https://clinicaltrials.gov/study/NCT05971030,UNKNOWN,Alzheimer Disease|Electric Stimulation Therapy,DEVICE: Cortical brain stimulation of mPFC and dlPFC,"Xuanwu Hospital, Beijing",,INTERVENTIONAL
NCT02246075,Study of the Safety of Two Doses of Investigational Study Drug EVP-6124 in Subjects With Alzheimer's Disease Currently Receiving Memantine,https://clinicaltrials.gov/study/NCT02246075,WITHDRAWN,Alzheimer's Disease|Dementia|Cognition,DRUG: EVP-6124,FORUM Pharmaceuticals Inc,"Quintiles, Inc.",INTERVENTIONAL
NCT06400368,Effect of LEQEMBI on Cerebral and Retinal Amyloid in Mild Cognitive Impairment Due to Alzheimer's Disease,https://clinicaltrials.gov/study/NCT06400368,RECRUITING,Mild Cognitive Impairment|Alzheimer Disease,,NeuroVision Imaging,,OBSERVATIONAL
NCT04786223,Targeting Neuroinflammation as a Contributing Pathology in Alzheimer's Disease Dementia and Related Dementias,https://clinicaltrials.gov/study/NCT04786223,ENROLLING_BY_INVITATION,Alzheimer Disease|Lewy Body's Dementia,DRUG: C-11 ER-176|DIAGNOSTIC_TEST: Blood Test,Val Lowe,,INTERVENTIONAL
NCT07361601,Implementation of AIP Services for Older Adults With AD,https://clinicaltrials.gov/study/NCT07361601,NOT_YET_RECRUITING,Alzheimer Disease|Mild Cognitive Impairment,,Northwestern University,National Institute on Aging (NIA),OBSERVATIONAL
NCT03834402,INTERCEPTOR Project: From MCI to Dementia,https://clinicaltrials.gov/study/NCT03834402,COMPLETED,Mild Cognitive Impairment|Alzheimer Disease,,Catholic University of the Sacred Heart,"Ministry of Health, Italy|Agenzia Italiana del Farmaco",OBSERVATIONAL
NCT03639987,A Study of Aducanumab in Participants With Mild Cognitive Impairment Due to Alzheimer's Disease or With Mild Alzheimer's Disease Dementia to Evaluate the Safety of Continued Dosing in Participants With Asymptomatic Amyloid-Related Imaging Abnormalities,https://clinicaltrials.gov/study/NCT03639987,TERMINATED,Cognitive Dysfunction|Alzheimer's Disease,DRUG: Aducanumab|DRUG: Placebo,Biogen,,INTERVENTIONAL
NCT07457125,The Effect of CB-Exo-A600 in Mild to Moderate Alzheimer's Disease,https://clinicaltrials.gov/study/NCT07457125,NOT_YET_RECRUITING,Mild to Moderate Alzheimer's Disease,DRUG: Exosomes derived from umbilical cord mesenchymal stem cell for intranasal drop|DRUG: A placebo of exosomes derived from umbilical cord mesenchymal stem cell for intranasal drop,"Xuanwu Hospital, Beijing","Carrier Biomed (Suzhou) Co., Ltd|Institute of Process Engineering, Chinese Academy of Sciences",INTERVENTIONAL
NCT00161473,Alzheimer's in Long-Term Care--Treatment for Agitation,https://clinicaltrials.gov/study/NCT00161473,COMPLETED,Alzheimer Disease|Psychomotor Agitation,DRUG: prazosin|DRUG: placebo (inert substance),University of Washington,National Institute on Aging (NIA),INTERVENTIONAL
NCT04597827,Metacognition in Semantic Dementia: Comparison With Alzheimer's Disease,https://clinicaltrials.gov/study/NCT04597827,COMPLETED,Semantic Dementia|Alzheimer Disease|Healthy,OTHER: Metacognition tests,"University Hospital, Grenoble",,OBSERVATIONAL
NCT06703541,ADRC Clinical Cohort (Alzheimer's Disease),https://clinicaltrials.gov/study/NCT06703541,RECRUITING,Alzheimer Disease|Mild Cognitive Impairment|Dementia,,Duke University,"National Institute on Aging (NIA)|University of North Carolina, Chapel Hill",OBSERVATIONAL
NCT05501119,SUPPORT-D Intervention for Persons With Alzheimer's Disease and Their Caregivers,https://clinicaltrials.gov/study/NCT05501119,COMPLETED,Alzheimer Disease|Mild Cognitive Impairment,BEHAVIORAL: A Program of SUPPORT-D (dementia),Medical University of South Carolina,National Center for Advancing Translational Sciences (NCATS),INTERVENTIONAL
NCT04239079,Autoimmune Features of Neurodegenerative Disorders,https://clinicaltrials.gov/study/NCT04239079,RECRUITING,Parkinson Disease|Alzheimer Disease|Mild Cognitive Impairment,,Columbia University,,OBSERVATIONAL
NCT01745198,Effect of Cerefolin®/CerefolinNAC® on Biomarker Measurements,https://clinicaltrials.gov/study/NCT01745198,COMPLETED,Mild Cognitive Impairment|Alzheimer's Disease|Alzheimer's Disease Related Disorders,,"Pamlab, Inc.",The Shankle Clinic|Hoag Memorial Hospital Presbyterian,OBSERVATIONAL
NCT06254469,Visualizing Brain Proteinopathies Using [F-18]Flornaptitril-PET in the Prediction of Clinical Progression of Mild Cognitive Impairment With Either Suspected Chronic Traumatic Encephalopathy or Alzheimer's Disease,https://clinicaltrials.gov/study/NCT06254469,RECRUITING,Alzheimer Disease|Chronic Traumatic Encephalopathy,DRUG: [F-18]Flornaptitril,"CereMark Pharma, LLC",,INTERVENTIONAL
NCT06473220,Evaluation of the Effectiveness of Narrative Nursing,https://clinicaltrials.gov/study/NCT06473220,COMPLETED,"Alzheimer Disease|Narrative|Depression, Anxiety",BEHAVIORAL: Narrative nursing,Nanjing Medical University,,INTERVENTIONAL
NCT01119638,Escitalopram Treatment for BPSD in Alzheimer's Disease in Comparison to Risperidone,https://clinicaltrials.gov/study/NCT01119638,COMPLETED,Agitation|Psychosis|Alzheimer's Disease,DRUG: Escitalopram|DRUG: Risperidone,Abarbanel Mental Health Center,,INTERVENTIONAL
NCT02963415,Concurrent Aerobic Exercise and Virtual Reality Cognitive Training,https://clinicaltrials.gov/study/NCT02963415,COMPLETED,Preclinical Alzheimer's Disease,BEHAVIORAL: Exergame,University of Minnesota,,INTERVENTIONAL
NCT03560960,Multi-Center Development of a Novel Diagnostic Test for Alzheimer's Disease,https://clinicaltrials.gov/study/NCT03560960,ACTIVE_NOT_RECRUITING,Alzheimer Disease|Mild Cognitive Impairment,DRUG: Pramlintide challenge test,Boston University,National Institute on Aging (NIA),INTERVENTIONAL
NCT01815112,Early Diagnosis of Alzheimer-like Dementia: Benefit of MRI and PET Imaging,https://clinicaltrials.gov/study/NCT01815112,TERMINATED,Alzheimer Disease|Mild Cognitive Impairment|Vascular Dementia,OTHER: Magnetic resonance imaging|OTHER: Positron emission tomography,"Centre Hospitalier Universitaire, Amiens",,INTERVENTIONAL
NCT03056729,Single-Ascending-Dose Study of BIIB076 in Healthy Volunteers and Participants With Alzheimer's Disease,https://clinicaltrials.gov/study/NCT03056729,COMPLETED,Alzheimer's Disease|Healthy Volunteer,DRUG: BIIB076|DRUG: Placebo,Biogen,,INTERVENTIONAL
NCT05792163,A First Time in Human Study of SNP318 as a Treatment for Neurodegenerative Diseases Including Alzheimer's Disease,https://clinicaltrials.gov/study/NCT05792163,COMPLETED,Neurodegenerative Diseases|Alzheimer's Disease,DRUG: SNP318 (A)|DRUG: Placebo (B),SciNeuro,,INTERVENTIONAL
NCT05642351,Autobiographical Specificity,https://clinicaltrials.gov/study/NCT05642351,COMPLETED,Memory|Alzheimer Disease|Frontotemporal Dementia,OTHER: Autobiographical reminder,Nantes University Hospital,,OBSERVATIONAL
NCT02649985,"PET Brain Imaging in Multiple Sclerosis, Alzheimer's Disease, and Other Neurological and Neuropsychiatric Diseases",https://clinicaltrials.gov/study/NCT02649985,RECRUITING,Multiple Sclerosis|Alzheimer's Disease,DRUG: [F-18]PBR06|DRUG: [C-11]PBR28,Brigham and Women's Hospital,Massachusetts General Hospital,INTERVENTIONAL
NCT01954550,Effects of Aerobic Exercise for Treating Alzheimer's Disease,https://clinicaltrials.gov/study/NCT01954550,COMPLETED,"Alzheimer's Disease, Late Onset",BEHAVIORAL: Cycling exercise|BEHAVIORAL: Range of motion/stretching exercise,University of Minnesota,Mayo Clinic|University of St Thomas|National Institute on Aging (NIA),INTERVENTIONAL
NCT06781333,Human Mesenchymal Stem Cells (hMSC) in Behavioral Problems Due to Alzheimer's Disease.,https://clinicaltrials.gov/study/NCT06781333,RECRUITING,Alzheimer Disease|Agitation in Dementia,BIOLOGICAL: hMSC,Bernard (Barry) Baumel,,INTERVENTIONAL
NCT00029120,Evaluation of Age- and Alzheimer's Disease-Related Memory Disorder,https://clinicaltrials.gov/study/NCT00029120,COMPLETED,Alzheimer Disease|Dementia|Memory Disorder|Healthy,,National Institute of Mental Health (NIMH),,OBSERVATIONAL
NCT04468347,"Flortaucipir PET Imaging in the Preclinical, Prodromal and Dementia Phases of Alzheimer's Disease",https://clinicaltrials.gov/study/NCT04468347,COMPLETED,Alzheimer Disease|Mild Cognitive Impairment,DRUG: Flortaucipir F18|PROCEDURE: Brain PET scan,Avid Radiopharmaceuticals,,INTERVENTIONAL
NCT01695889,Is There a Relationship Between Previous Exposure to General Anesthesia and the Development of Alzheimer´s Disease?,https://clinicaltrials.gov/study/NCT01695889,UNKNOWN,Alzheimer´s Disease|General Anesthesia,,"University Hospital, Linkoeping",,OBSERVATIONAL
NCT05803122,Validation of the I-UDS Neuropsychological Battery,https://clinicaltrials.gov/study/NCT05803122,COMPLETED,Mild Cognitive Impairment|Alzheimer Disease,OTHER: Uniform Data Set (UDS) neuropsychological battery,"IRCCS National Neurological Institute ""C. Mondino"" Foundation","IRCCS Associazione Oasi Maria SS. ONLUS, Troina, Italy|IRCCS Istituto Auxologico Italiano, Milano, Italy|Fondazione IRCCS Istituto Neurologico Carlo Besta, Milano, Italy|IRCCS San Raffaele|Fondazione IRCCS Santa Lucia, Roma, Italy|IRCCS Fondazione Policlinico Universitario Agostino Gemelli, Milano, Italy|IRCCS Istituto Centro San Giovanni di Dio Fatebenefratelli, Brescia, Italy|IRCCS Don Gnocchi, Milano, Italy|IRCCS Ospedale Maggiore Policlinico, Milano, Italy|IRCCS AOU San Martino, Genova, Italy|IRCCS SDN, Napoli, Italy|IRCCS Fondazione Salvatore Maugeri, Pavia, Italy|IRCCS Istituto delle Scienze Neurologiche di Bologna|Istituto Di Ricerche Farmacologiche Mario Negri|Humanitas Research Hospital IRCCS, Rozzano-Milan",OBSERVATIONAL
NCT04263519,A Pilot Open Labeled Study of Tacrolimus in Alzheimer's Disease.,https://clinicaltrials.gov/study/NCT04263519,WITHDRAWN,Alzheimer Disease|Mild Cognitive Impairment,DRUG: Tacrolimus,Massachusetts General Hospital,,INTERVENTIONAL
NCT04496778,Low Level Laser Therapy Impact on Cognitive Function and Quality of Life in Alzheimer Anemic Elderly Patients,https://clinicaltrials.gov/study/NCT04496778,COMPLETED,"Alzheimer Disease|Cognitive Impairment, Mild",DEVICE: low level laser therapy ( laser acupuncture combined with nasal laser irradiation)|OTHER: aerobic exercise,Cairo University,,INTERVENTIONAL
NCT04619420,A Study of JNJ-63733657 in Participants With Early Alzheimer's Disease,https://clinicaltrials.gov/study/NCT04619420,TERMINATED,Alzheimer Disease|Cognitive Dysfunction|Dementia,DRUG: JNJ-63733657|DRUG: Placebo,"Janssen Research & Development, LLC",,INTERVENTIONAL
NCT05542953,[18F]APN-1607 PET in Subjects With AD Compared to HC,https://clinicaltrials.gov/study/NCT05542953,COMPLETED,Alzheimer's Disease|Mild Cognitive Impairment Due to Alzheimer's Disease|Healthy Volunteers,DRUG: [18F]APN-1607,APRINOIA Therapeutics,,INTERVENTIONAL
NCT03360019,Accurate WiFi-Based Localization of Dementia Patients For Caregiver Support:,https://clinicaltrials.gov/study/NCT03360019,COMPLETED,"Dementia, Vascular|Alzheimer Dementia|Lewy Body Dementia With Behavioral Disturbance",DEVICE: Activlink insole|OTHER: Activlink Phone Application,University of Florida,"National Institute on Aging (NIA)|Aster Labs, Inc",INTERVENTIONAL
NCT02331784,Plasticity-based Adaptive Cognitive Remediation for Alzheimer Disease,https://clinicaltrials.gov/study/NCT02331784,COMPLETED,"Older Adults, Aging Brain",BEHAVIORAL: Computerized Plasticity-based Software|BEHAVIORAL: Commercially available Video Game,Posit Science Corporation,University of Iowa,INTERVENTIONAL
NCT02886494,A Study to Evaluate Efficacy and Safety of BAC in Patient With Alzheimer's Disease or Vascular Dementia,https://clinicaltrials.gov/study/NCT02886494,COMPLETED,Alzheimer's Disease or Vascular Dementia,DRUG: BAC treatment|DRUG: Matched vehicle,Charsire Biotechnology Corp.,,INTERVENTIONAL
NCT07290686,Evaluation of the Effectiveness and Safety of Transcranial Direct Current Stimulation in Combination With Nasal Near Infrared Stimulation to Improve Cognitive Functions and Quality of Life in Elderly People With Mild Cognitive Impairment (MCI) and Alzheimer's Disease (AD).,https://clinicaltrials.gov/study/NCT07290686,COMPLETED,Alzheimer Disease|Mild Cognitive Impairment,DEVICE: tDCS stimulation|DEVICE: tDCS|DEVICE: iNIRS stimulation|DEVICE: iNIRS,Medical University of Lodz,,INTERVENTIONAL
NCT02187627,"Evaluation of [11C]RO6924963, [11C]RO6931643, and [18F]RO6958948 as Tracers for Positron Emission Tomography (PET) Imaging of Tau in Healthy and Alzheimer's Disease (AD) Participants",https://clinicaltrials.gov/study/NCT02187627,COMPLETED,"Alzheimer's Disease, Healthy Volunteer",DRUG: [11C]RO6924963|DRUG: [11C]RO6931643|DRUG: [18F]RO6958948,Hoffmann-La Roche,,INTERVENTIONAL
NCT03538574,Mindfulness Meditation and Insomnia in Alzheimer Disease Caregivers,https://clinicaltrials.gov/study/NCT03538574,COMPLETED,Insomnia Chronic,BEHAVIORAL: CBT-I|BEHAVIORAL: MAP-I,"University of California, Los Angeles",,INTERVENTIONAL
NCT07105956,Radiolabeled TSPO Targeted Molecular Probe in Alzheimer's Disease.,https://clinicaltrials.gov/study/NCT07105956,NOT_YET_RECRUITING,Alzheimer&#39;s Disease (AD),,"Nanjing First Hospital, Nanjing Medical University",,OBSERVATIONAL
NCT01832350,Nuedexta in the Treatment of Pseudobulbar Affect in Patients With Alzheimer's Disease,https://clinicaltrials.gov/study/NCT01832350,TERMINATED,Alzheimer's Disease|Pseudobulbar Affect (PBA),DRUG: Nuedexta (20/10),"St. Joseph's Hospital and Medical Center, Phoenix",Avanir Pharmaceuticals,INTERVENTIONAL
NCT03824197,Auburn University Research on Olive Oil for Alzheimer's Disease (AU-ROOAD),https://clinicaltrials.gov/study/NCT03824197,COMPLETED,Alzheimer Disease|Cerebral Amyloid Angiopathy,OTHER: EVOO|OTHER: OO,Auburn University,,INTERVENTIONAL
NCT04819126,Nintendo Wii Virtual Reality Application In Dementia,https://clinicaltrials.gov/study/NCT04819126,COMPLETED,Age-Related Memory Disorders,OTHER: Nintendo Wii Virtual Reality Application,Kırıkkale University,,INTERVENTIONAL
NCT05985486,Brain Outcomes With Lifestyle Change in Down Syndrome,https://clinicaltrials.gov/study/NCT05985486,RECRUITING,Down Syndrome|Alzheimer Disease|Obesity,BEHAVIORAL: Diet|BEHAVIORAL: Health Education,University of Kansas Medical Center,,INTERVENTIONAL
NCT06029894,Improving Sleep and AD Biomarkers,https://clinicaltrials.gov/study/NCT06029894,COMPLETED,Mild Cognitive Impairment|Alzheimer Disease,DIETARY_SUPPLEMENT: Citicoline Supplement|OTHER: Placebo,Emory University,National Institute on Aging (NIA),INTERVENTIONAL
NCT03089827,Biodistribution of [11C]PIB in Patients With Risk Factors for Alzheimer's Disease,https://clinicaltrials.gov/study/NCT03089827,ENROLLING_BY_INVITATION,Alzheimer Disease|Mild Cognitive Impairment,,Wake Forest University Health Sciences,,OBSERVATIONAL
NCT06094452,Effects of 24-week Computerized Cognitive Training in Patients With MCI and AD,https://clinicaltrials.gov/study/NCT06094452,COMPLETED,Mild Cognitive Impairment|Alzheimer Disease,OTHER: Computerized Cognitive Training|OTHER: Treatment As Usual,Chongqing Medical University,,INTERVENTIONAL
NCT06008639,Efficacy and Safety of Near Infrared Light Therapy for Alzheimer's Disease,https://clinicaltrials.gov/study/NCT06008639,UNKNOWN,Mild to Moderate Alzheimer's Disease,DEVICE: treatment group-Device: NirsCure - Active NirsCure - Active settings|DEVICE: placebo group-Device: NirsCure - Sham NirsCure - Sham settings,"Danyang Huichuang Medical Equipment Co., Ltd.",Rehabilitation Hospital Affiliated to National Research Center for Rehabilitation Technical Aids|First Affiliated Hospital of Chongqing Medical University,INTERVENTIONAL
NCT00965835,Amyloid Plaque and Tangle Imaging in Alzheimer's Disease and Down Syndrome,https://clinicaltrials.gov/study/NCT00965835,UNKNOWN,Down Syndrome|Alzheimer's Disease,,National Institute on Aging (NIA),,OBSERVATIONAL
NCT00031018,Prevention of Cognitive Decline in Alzheimer's Disease by Ingested Interferon Alpha,https://clinicaltrials.gov/study/NCT00031018,UNKNOWN,Memory Disorders|Alzheimer's Disease,DRUG: Aricept|DRUG: IFN-alpha2A,National Center for Research Resources (NCRR),Pfizer,INTERVENTIONAL
NCT07237958,Effects on the Olfactory Epithelium and the Olfactory Nerve From Exposure to Diesel Exhaust,https://clinicaltrials.gov/study/NCT07237958,COMPLETED,Alzheimer Disease (AD)|Dementia Alzheimer Type|Air Pollution Exposure,OTHER: Diesel Exhaust Particles|OTHER: Filtered air,Umeå University,"University Hospital, Umeå|University of Eastern Finland|Czech Academy of Sciences",INTERVENTIONAL
NCT01890343,"Imaging Characteristics of Florbetapir 18F in Patients With Frontotemporal Dementia, Alzheimer's Disease and Normal Controls.",https://clinicaltrials.gov/study/NCT01890343,COMPLETED,Alzheimer's Disease|Frontotemporal Dementia,DRUG: florbetapir 18F|DRUG: 18F-FDG,Avid Radiopharmaceuticals,,INTERVENTIONAL
NCT00172900,MRS and DTI of White Matter in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT00172900,UNKNOWN,Alzheimer's Disease|Vascular Dementia,,National Taiwan University Hospital,,OBSERVATIONAL
NCT05411822,Understanding Circadian Responses to Light in Persons With Mild Cognitive Impairment,https://clinicaltrials.gov/study/NCT05411822,COMPLETED,Mild Cognitive Impairment|Alzheimer Disease,DEVICE: Lighting Intervention Blue light|DEVICE: Lighting Intervention Green light|OTHER: Dim-light control condition,Icahn School of Medicine at Mount Sinai,National Institute on Aging (NIA),INTERVENTIONAL
NCT06234930,"The Feasibility, Safety and Tolerability of VR-based Audiovisual Stimulation",https://clinicaltrials.gov/study/NCT06234930,COMPLETED,Healthy Aging|Alzheimer's Disease,DEVICE: Audiovisual stimulation VR system,"Clarity Health Technologies, Inc",,INTERVENTIONAL
NCT02703636,"NextStep:Study to Evaluate Safety,Efficacy & Tolerability of Rivastigmine Patch in Mild to Moderate Alzheimer's Patients.",https://clinicaltrials.gov/study/NCT02703636,COMPLETED,Mild to Moderate Alzheimer's Disease,DRUG: Rivastigmine Patch,Novartis Pharmaceuticals,,INTERVENTIONAL
NCT01874418,Biomarker Study to Diagnose Alzheimer's Disease,https://clinicaltrials.gov/study/NCT01874418,UNKNOWN,Alzheimer Disease|Mild Cognitive Impairment,OTHER: Biomarker,Seoul National University Hospital,,INTERVENTIONAL
NCT06114914,TapTalkTest Project:Development of a Non-invasive Screening Test to Detect Risk of Alzheimer's Disease Pathology,https://clinicaltrials.gov/study/NCT06114914,UNKNOWN,Alzheimer Disease|Dementia|Movement Abnormalities|Speech Disorders,DIAGNOSTIC_TEST: Tap Talk online program,University of Tasmania,,OBSERVATIONAL
